p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
1.000000e-05,1.000000e-05,2.500000e-04,1.998000e-02,5.760000e-03
2.154435e-05,2.154435e-05,5.900000e-04,4.210000e-02,1.235000e-02
4.641589e-05,4.641589e-05,1.350000e-03,9.384000e-02,2.711000e-02
1.000000e-04,1.000000e-04,2.820000e-03,1.984800e-01,5.616000e-02
2.154435e-04,2.154435e-04,6.290000e-03,4.341600e-01,1.197300e-01
4.641589e-04,4.641589e-04,1.313000e-02,9.252600e-01,2.391500e-01
1.000000e-03,1.000000e-03,2.570000e-02,1.968320e+00,4.456600e-01
2.154435e-03,2.154435e-03,5.669000e-02,4.100580e+00,7.183400e-01
4.641589e-03,4.641589e-03,1.162700e-01,8.276080e+00,9.351100e-01
1.000000e-02,1.000000e-02,2.143800e-01,1.589454e+01,9.968700e-01
