p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,1.000000e-06,1.993100e-01,1.177150e-01
6.608104e-04,6.608104e-04,0.000000e+00,2.625920e-01,1.519900e-01
8.733407e-04,8.733407e-04,0.000000e+00,3.469500e-01,1.958150e-01
1.154225e-03,1.154225e-03,0.000000e+00,4.578190e-01,2.503650e-01
1.525448e-03,1.525448e-03,4.000000e-06,6.027610e-01,3.161080e-01
2.016064e-03,2.016064e-03,1.000000e-05,7.963280e-01,3.951270e-01
2.664471e-03,2.664471e-03,1.900000e-05,1.047949e+00,4.851880e-01
3.521421e-03,3.521421e-03,5.300000e-05,1.378039e+00,5.842810e-01
4.653982e-03,4.653982e-03,1.440000e-04,1.811604e+00,6.861620e-01
6.150800e-03,6.150800e-03,3.300000e-04,2.371776e+00,7.835480e-01
8.129024e-03,8.129024e-03,7.490000e-04,3.105604e+00,8.681710e-01
1.074349e-02,1.074349e-02,1.675000e-03,4.043029e+00,9.303780e-01
1.419882e-02,1.419882e-02,3.746000e-03,5.243029e+00,9.704830e-01
1.876545e-02,1.876545e-02,8.390000e-03,6.751326e+00,9.903680e-01
2.480081e-02,2.480081e-02,1.828000e-02,8.635336e+00,9.977890e-01
3.277726e-02,3.277726e-02,3.864100e-02,1.093830e+01,9.996930e-01
4.331910e-02,4.331910e-02,7.886200e-02,1.369100e+01,9.999700e-01
5.725143e-02,5.725143e-02,1.506720e-01,1.691051e+01,9.999990e-01
7.566467e-02,7.566467e-02,2.582460e-01,2.048113e+01,1.000000e+00
1.000000e-01,1.000000e-01,3.807000e-01,2.433615e+01,1.000000e+00
